date,Median,High_80,Low_80,Infections,Adjusted_Postive
2020-02-26,1.981,2.279,1.688,173.535,0.000
2020-02-27,1.987,2.309,1.722,2.476,0.000
2020-02-28,1.980,2.246,1.698,35.116,0.000
2020-02-29,1.977,2.208,1.675,66.920,0.000
2020-03-01,1.962,2.227,1.721,74.513,0.000
2020-03-02,1.945,2.169,1.683,80.638,0.000
2020-03-03,1.926,2.162,1.706,92.793,11.514
2020-03-04,1.894,2.114,1.683,107.601,17.944
2020-03-05,1.869,2.061,1.679,123.551,22.507
2020-03-06,1.832,2.013,1.636,141.241,27.549
2020-03-07,1.785,1.936,1.597,161.078,34.240
2020-03-08,1.729,1.907,1.584,183.023,40.564
2020-03-09,1.671,1.790,1.479,206.887,48.992
2020-03-10,1.609,1.754,1.477,232.333,56.307
2020-03-11,1.545,1.657,1.397,258.912,65.333
2020-03-12,1.484,1.602,1.361,286.197,76.419
2020-03-13,1.411,1.518,1.299,313.642,87.577
2020-03-14,1.355,1.460,1.258,340.640,100.745
2020-03-15,1.297,1.386,1.201,366.532,115.365
2020-03-16,1.246,1.340,1.161,390.686,132.232
2020-03-17,1.202,1.290,1.127,412.412,149.867
2020-03-18,1.167,1.244,1.080,432.026,169.301
2020-03-19,1.139,1.216,1.049,449.163,190.312
2020-03-20,1.116,1.203,1.045,464.053,212.594
2020-03-21,1.103,1.171,1.015,477.029,235.802
2020-03-22,1.094,1.171,1.014,488.394,259.827
2020-03-23,1.091,1.162,1.014,498.481,283.993
2020-03-24,1.089,1.159,1.009,507.719,307.968
2020-03-25,1.087,1.170,1.019,516.545,331.496
2020-03-26,1.090,1.156,1.011,525.294,354.332
2020-03-27,1.095,1.168,1.020,534.172,376.032
2020-03-28,1.101,1.175,1.023,543.304,396.523
2020-03-29,1.103,1.177,1.024,552.894,415.573
2020-03-30,1.112,1.191,1.025,563.229,433.340
2020-03-31,1.115,1.194,1.027,574.293,449.750
2020-04-01,1.121,1.193,1.032,586.055,464.990
2020-04-02,1.121,1.205,1.045,598.618,479.127
2020-04-03,1.125,1.205,1.047,611.937,492.423
2020-04-04,1.126,1.212,1.049,625.881,504.989
2020-04-05,1.130,1.206,1.044,640.432,517.083
2020-04-06,1.129,1.202,1.036,655.691,528.851
2020-04-07,1.124,1.209,1.050,671.563,540.521
2020-04-08,1.122,1.205,1.046,687.867,552.222
2020-04-09,1.121,1.205,1.044,704.442,564.134
2020-04-10,1.125,1.215,1.054,721.228,576.262
2020-04-11,1.123,1.196,1.040,738.154,588.783
2020-04-12,1.123,1.193,1.042,755.492,601.747
2020-04-13,1.123,1.196,1.049,773.291,615.215
2020-04-14,1.122,1.211,1.060,791.470,629.160
2020-04-15,1.126,1.210,1.062,810.151,643.637
2020-04-16,1.131,1.206,1.058,829.284,658.598
2020-04-17,1.136,1.218,1.060,849.142,674.015
2020-04-18,1.135,1.214,1.051,870.047,689.877
2020-04-19,1.138,1.224,1.059,892.037,706.144
2020-04-20,1.141,1.234,1.066,915.108,722.834
2020-04-21,1.146,1.228,1.063,939.088,739.937
2020-04-22,1.154,1.248,1.080,964.179,757.478
2020-04-23,1.163,1.246,1.084,990.842,775.430
2020-04-24,1.164,1.251,1.088,1019.390,793.888
2020-04-25,1.170,1.256,1.085,1049.857,812.923
2020-04-26,1.172,1.248,1.078,1082.017,832.583
2020-04-27,1.173,1.258,1.091,1116.013,852.966
2020-04-28,1.180,1.268,1.088,1151.800,874.110
2020-04-29,1.178,1.268,1.092,1189.229,896.107
2020-04-30,1.179,1.269,1.101,1228.460,919.075
2020-05-01,1.185,1.252,1.082,1269.438,943.182
2020-05-02,1.185,1.265,1.101,1312.096,968.473
2020-05-03,1.185,1.257,1.091,1356.751,995.133
2020-05-04,1.179,1.274,1.101,1403.522,1023.221
2020-05-05,1.181,1.262,1.090,1451.918,1052.807
2020-05-06,1.179,1.261,1.094,1501.322,1083.956
2020-05-07,1.173,1.255,1.087,1551.813,1116.722
2020-05-08,1.174,1.259,1.100,1603.559,1151.139
2020-05-09,1.173,1.250,1.091,1656.457,1187.254
2020-05-10,1.175,1.246,1.093,1710.487,1225.125
2020-05-11,1.170,1.249,1.093,1765.928,1264.777
2020-05-12,1.167,1.248,1.084,1823.313,1306.180
2020-05-13,1.166,1.247,1.088,1882.144,1349.274
2020-05-14,1.160,1.250,1.081,1941.523,1393.998
2020-05-15,1.158,1.247,1.078,2001.277,1440.292
2020-05-16,1.160,1.238,1.071,2061.399,1488.099
